Class                   NN1  (cost)  NN2  (cost)  NN3  (cost)  NN4  (cost)  NN5  (cost)
---------------------------------------------------------------------------------------
airplane                bird               (0.00023)  horse              (0.00025)  cat                (0.00026)  truck              (0.00027)  frog               (0.00028)
automobile              cat                (0.00021)  dog                (0.00021)  frog               (0.00021)  truck              (0.00024)  bird               (0.00027)
bird                    airplane           (0.00023)  cat                (0.00027)  automobile         (0.00027)  frog               (0.00029)  dog                (0.00030)
cat                     dog                (0.00020)  automobile         (0.00021)  truck              (0.00025)  airplane           (0.00026)  bird               (0.00027)
deer                    horse              (0.00026)  ship               (0.00027)  cat                (0.00027)  dog                (0.00028)  truck              (0.00029)
dog                     cat                (0.00020)  automobile         (0.00021)  horse              (0.00026)  deer               (0.00028)  bird               (0.00030)
frog                    automobile         (0.00021)  ship               (0.00023)  truck              (0.00025)  airplane           (0.00028)  bird               (0.00029)
horse                   airplane           (0.00025)  ship               (0.00026)  dog                (0.00026)  deer               (0.00026)  truck              (0.00026)
ship                    frog               (0.00023)  horse              (0.00026)  deer               (0.00027)  cat                (0.00029)  automobile         (0.00030)
truck                   automobile         (0.00024)  frog               (0.00025)  cat                (0.00025)  horse              (0.00026)  airplane           (0.00027)
